	id	name	formula	mz	mod	ion
55.01954469	C05986	2-Propyn-1-ol	C3H4O	55.01954469	-H(+)	1
57.03459301	C00207	Acetone	C3H6O	57.03459301	-H(+)	2
59.01432776	C00033	Acetate	C2H4O2	59.01432776	-H(+)	4
59.05034982	C01845	Propan-2-ol	C3H8O	59.05034982	-H(+)	5
60.99324643	C01353	Carbonic acid	H2CO3	60.99324643	-H(+)	12
61.98871044	C00244	Nitrate	HNO3	61.98871044	-H(+)	15
67.01891401	C06145	3-Butyn-1-al	C4H4O	67.01891401	-H(+)	16
68.99562571	C00804	Propynoate	C3H2O2	68.99562571	-H(+)	17
71.01442679	C00546	Methylglyoxal	C3H4O2	71.01442679	-H(+)	18
73.02937447	C00163	Propanoate	C3H6O2	73.02937447	-H(+)	21
74.02464043	C00037	Glycine	C2H5NO2	74.02464043	-H(+)	22
79.95703005	C11481	HSO3-	HSO3	79.95703005	-H(+)	27
83.01351893	C06144	3-Butynoate	C4H4O2	83.01351893	-H(+)	29
85.03008004	C00741	Diacetyl	C4H6O2	85.03008004	-H(+)	31
87.00870457	C00022	Pyruvate	C3H4O3	87.00870457	-H(+)	34
87.04450366	C00246	Butanoic acid	C4H8O2	87.04450366	-H(+)	35
88.04082563	C00041	L-Alanine	C3H7NO2	88.04082563	-H(+)	36
89.02482057	C00184	Glycerone	C3H6O3	89.02482057	-H(+)	37
91.04000983	C00116	Glycerol	C3H8O3	91.04000983	-H(+)	42
96.96065774	C00059	Sulfate	H2SO4	96.96065774	-H(+)	46
96.96853994	C00009	Orthophosphate	H3PO4	96.96853994	-H(+)	47
101.0245336	C00109	2-Oxobutanoate	C4H6O3	101.0245336	-H(+)	61
102.0557171	C00334	4-Aminobutanoate	C4H9NO2	102.0557171	-H(+)	63
103.0395321	C00989	4-Hydroxybutanoic acid	C4H8O3	103.0395321	-H(+)	64
108.0442881	C01987	2-Aminophenol	C6H7NO	108.0442881	-H(+)	70
109.0405083	C05130	Imidazole-4-acetaldehyde	C5H6N2O	109.0405083	-H(+)	72
111.0195798	C00106	Uracil	C4H4N2O2	111.0195798	-H(+)	74
112.039507	C03564	1-Pyrroline-2-carboxylate	C5H7NO2	112.039507	-H(+)	78
112.9854572	C03248	Acetylenedicarboxylate	C4H2O4	112.9854572	-H(+)	80
113.024407	C00596	2-Hydroxy-2,4-pentadienoate	C5H6O3	113.024407	-H(+)	81
113.0328604	C00429	5,6-Dihydrouracil	C4H6N2O2	113.0328604	-H(+)	82
114.0560861	C00148	L-Proline	C5H9NO2	114.0560861	-H(+)	86
115.0048978	C00122	Fumarate	C4H4O4	115.0048978	-H(+)	89
115.0389749	C00141	3-Methyl-2-oxobutanoic acid	C5H8O3	115.0389749	-H(+)	90
116.0375867	C00441	L-Aspartate 4-semialdehyde	C4H7NO3	116.0375867	-H(+)	92
116.0710536	C00183	L-Valine	C5H11NO2	116.0710536	-H(+)	93
117.0188389	C00042	Succinate	C4H6O4	117.0188389	-H(+)	96
118.0504409	C00188	L-Threonine	C4H9NO3	118.0504409	-H(+)	100
121.030004	C00180	Benzoate	C7H6O2	121.030004	-H(+)	106
123.0116032	C07103	2-Hydroxy-1,4-benzoquinone	C6H4O3	123.0116032	-H(+)	120
124.0406082	C16671	3,6-Dihydronicotinic acid	C6H7NO2	124.0406082	-H(+)	122
124.9962134	C05123	2-Hydroxyethanesulfonate	C2H6O4S	124.9962134	-H(+)	123
125.0242043	C02814	Benzene-1,2,4-triol	C6H6O3	125.0242043	-H(+)	124
126.055867	C00450	(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate	C6H9NO2	126.055867	-H(+)	125
127.0510671	C00906	5,6-Dihydrothymine	C5H8N2O2	127.0510671	-H(+)	128
128.0352619	C01877	4-Oxoproline	C5H7NO3	128.0352619	-H(+)	129
129.0194152	C00433	2,5-Dioxopentanoate	C5H6O4	129.0194152	-H(+)	130
129.0556962	C00233	4-Methyl-2-oxopentanoate	C6H10O3	129.0556962	-H(+)	132
130.0871297	C00123	L-Leucine	C6H13NO2	130.0871297	-H(+)	134
131.0343306	C00489	Glutarate	C5H8O4	131.0343306	-H(+)	136
131.0814761	C00077	L-Ornithine	C5H12N2O2	131.0814761	-H(+)	138
132.0299262	C00049	L-Aspartate	C4H7NO4	132.0299262	-H(+)	139
133.0135891	C00149	(S)-Malate	C4H6O5	133.0135891	-H(+)	141
133.048284	C01801	Deoxyribose	C5H10O4	133.048284	-H(+)	143
133.0625749	C02394	Cinnamyl alcohol	C9H10O	133.0625749	-H(+)	144
134.0468042	C00147	Adenine	C5H5N5	134.0468042	-H(+)	146
135.03078	C00262	Hypoxanthine	C5H4N4O	135.03078	-H(+)	151
135.0475963	C01454	Toluate	C8H8O2	135.0475963	-H(+)	152
137.0270719	C00156	4-Hydroxybenzoate	C7H6O3	137.0270719	-H(+)	155
137.0606548	C06044	4-Hydroxyphenylethanol	C8H10O2	137.0606548	-H(+)	156
138.0206451	C01020	6-Hydroxynicotinate	C6H5NO3	138.0206451	-H(+)	157
141.0162801	C00682	2-Hydroxymuconate semialdehyde	C6H6O4	141.0162801	-H(+)	161
143.0343577	C00922	2,3-Dimethylmaleate	C6H8O4	143.0343577	-H(+)	166
143.107579	C06423	Octanoic acid	C8H16O2	143.107579	-H(+)	168
144.066115	C02946	4-Acetamidobutanoate	C6H11NO3	144.066115	-H(+)	170
145.013384	C00026	2-Oxoglutarate	C5H6O5	145.013384	-H(+)	173
145.0610973	C00064	L-Glutamine	C5H10N2O3	145.0610973	-H(+)	174
145.098264	C00047	L-Lysine	C6H14N2O2	145.098264	-H(+)	175
146.0458908	C00025	L-Glutamate	C5H9NO4	146.0458908	-H(+)	176
146.0977762	C09910	Actinidine	C10H13N	146.0977762	-H(+)	177
147.0291756	C00684	2-Dehydro-3-deoxy-L-arabinonate	C5H8O5	147.0291756	-H(+)	178
147.0462951	C00423	trans-Cinnamate	C9H8O2	147.0462951	-H(+)	179
147.0631081	C00418	(R)-Mevalonate	C6H12O4	147.0631081	-H(+)	180
148.0444894	C00073	L-Methionine	C5H11NO2S	148.0444894	-H(+)	182
149.0446998	C00121	D-Ribose	C5H10O5	149.0446998	-H(+)	183
149.0589281	C02646	4-Coumaryl alcohol	C9H10O2	149.0589281	-H(+)	184
151.039128	C00642	4-Hydroxyphenylacetate	C8H8O3	151.039128	-H(+)	187
152.0341389	C00632	3-Hydroxyanthranilate	C7H7NO3	152.0341389	-H(+)	188
153.0168341	C00196	2,3-Dihydroxybenzoate	C7H6O4	153.0168341	-H(+)	190
154.0624059	C00135	L-Histidine	C6H9N3O2	154.0624059	-H(+)	191
155.0101434	C00295	Orotate	C5H4N2O4	155.0101434	-H(+)	193
155.0442536	C03680	4-Imidazolone-5-propanoate	C6H8N2O3	155.0442536	-H(+)	194
155.0627463	C02938	3-Indoleacetonitrile	C10H8N2	155.0627463	-H(+)	195
157.0258367	C00337	(S)-Dihydroorotate	C5H6N2O4	157.0258367	-H(+)	204
157.0510526	C02631	2-Isopropylmaleate	C7H10O4	157.0510526	-H(+)	205
157.0590901	C16432	5-Hydroxyectoine	C6H10N2O3	157.0590901	-H(+)	206
158.0587985	C00637	Indole-3-acetaldehyde	C10H9NO	158.0587985	-H(+)	210
158.081703	C03087	5-Acetamidopentanoate	C7H13NO3	158.081703	-H(+)	211
159.0293637	C00322	2-Oxoadipate	C6H8O5	159.0293637	-H(+)	216
159.0587738	C02656	6-Carboxyhexanoate	C7H12O4	159.0587738	-H(+)	217
160.0617878	C00956	L-2-Aminoadipate	C6H11NO4	160.0617878	-H(+)	220
161.0457211	C01088	(R)-3,3-Dimethylmalate	C6H10O5	161.0457211	-H(+)	222
164.0208085	C17243	4-Methylthiobutylthiohydroximate	C5H11NOS2	164.0208085	-H(+)	228
164.0713624	C00079	L-Phenylalanine	C9H11NO2	164.0713624	-H(+)	229
165.0205261	C01606	Phthalate	C8H6O4	165.0205261	-H(+)	230
165.053965	C01198	3-(2-Hydroxyphenyl)propanoate	C9H10O3	165.053965	-H(+)	231
165.0717076	C07715	Fluorene	C13H10	165.0717076	-H(+)	232
166.0863276	C05587	3-Methoxytyramine	C9H13NO2	166.0863276	-H(+)	237
166.9747224	C00074	Phosphoenolpyruvate	C3H5O6P	166.9747224	-H(+)	239
167.0235123	C00366	Urate	C5H4N4O3	167.0235123	-H(+)	240
168.0272666	C03340	L-2,3-Dihydrodipicolinate	C7H7NO4	168.0272666	-H(+)	241
168.9905597	C00111	Glycerone phosphate	C3H7O6P	168.9905597	-H(+)	242
169.1232717	C07276	Limonene-1,2-diol	C10H18O2	169.1232717	-H(+)	243
170.0454597	C03972	2,3,4,5-Tetrahydrodipicolinate	C7H9NO4	170.0454597	-H(+)	245
171.0061049	C00093	sn-Glycerol 3-phosphate	C3H9O6P	171.0061049	-H(+)	249
171.1019602	C16322	9-Oxononanoic acid	C9H16O3	171.1019602	-H(+)	251
171.1385071	C01571	Decanoic acid	C10H20O2	171.1385071	-H(+)	252
173.0082314	C00417	cis-Aconitate	C6H6O6	173.0082314	-H(+)	256
173.1048314	C00062	L-Arginine	C6H14N4O2	173.1048314	-H(+)	257
174.0163589	C01041	Monodehydroascorbate	C6H7O6	174.0163589	-H(+)	258
175.0368147	C00438	N-Carbamoyl-L-aspartate	C5H8N2O5	175.0368147	-H(+)	263
175.0609996	C02123	3-Propylmalate	C7H12O5	175.0609996	-H(+)	264
176.0390646	C03145	N-Formyl-L-methionine	C6H11NO3S	176.0390646	-H(+)	267
176.9356656	C00013	Diphosphate	P2H4O7	176.9356656	-H(+)	270
177.0404735	C00198	D-Glucono-1,5-lactone	C6H10O6	177.0404735	-H(+)	272
179.0568334	C00031	D-Glucose	C6H12O6	179.0568334	-H(+)	276
181.0615439	C06711	Fluoren-9-ol	C13H10O	181.0615439	-H(+)	284
183.0179454	C11821	5-Hydroxyisourate	C5H4N4O4	183.0179454	-H(+)	287
183.1018199	C11405	(3R)-3-Isopropenyl-6-oxoheptanoate	C10H16O3	183.1018199	-H(+)	288
184.0014257	C01005	O-Phospho-L-serine	C3H8NO6P	184.0014257	-H(+)	289
184.9855709	C00197	3-Phospho-D-glycerate	C3H7O7P	184.9855709	-H(+)	292
185.1205754	C11404	(3R)-6-Hydroxy-3-isopropenyl-heptanoate	C10H18O3	185.1205754	-H(+)	294
186.1143761	C01092	8-Amino-7-oxononanoate	C9H17NO3	186.1143761	-H(+)	296
187.024216	C04002	(Z)-But-1-ene-1,2,4-tricarboxylate	C7H8O6	187.024216	-H(+)	298
187.1075227	C02727	N6-Acetyl-L-lysine	C8H16N2O3	187.1075227	-H(+)	301
188.0355074	C01717	4-Hydroxy-2-quinolinecarboxylic acid	C10H7NO3	188.0355074	-H(+)	303
