metabolite	kinase	coef	score	kinase_count	metabolite_name	kinase_name	TP
188.06	YIL035C	-1.3016949708	0.856402237526	18	N-Acetyl-L-glutamate	CKA1	0
341.11	YIL095W	-1.12039603384	1.03770117448	18	Sucrose	PRK1	0
249.06	YIL035C	-1.02171133933	1.13638586899	18	gamma-L-Glutamyl-L-cysteine	CKA1	0
188.06	YGL019W	-0.964583613295	1.19351359503	18	N-Acetyl-L-glutamate	CKB1	0
341.11	YPL031C	-0.962469578338	1.19562762998	18	Sucrose	PHO85	0
205.04	YJL141C	-0.948462524882	1.20963468344	18	Lipoate	YAK1	0
191.02	YBR160W	-0.796673969582	1.36142323874	18	Citrate	CDC28	0
188.06	YIL042C	-0.72870316089	1.42939404743	18	N-Acetyl-L-glutamate	PKP1	0
188.06	YDL028C	-0.629433523708	1.52866368461	18	N-Acetyl-L-glutamate	MPS1	0
341.11	YOR061W	-0.596415593776	1.56168161455	18	Sucrose	CKA2	0
187.02	YJL141C	-0.59458056988	1.56351663844	18	(Z)-But-1-ene-1,2,4-tricarboxylate	YAK1	0
173.1	YBL088C	-0.527288745648	1.63080846267	18	L-Arginine	TEL1	0
606.07	YIL035C	-0.419539546095	1.73855766223	18	UDP-N-acetyl-D-glucosamine	CKA1	0
191.02	YOR061W	-0.395326548428	1.76277065989	18	Citrate	CKA2	0
173.1	YGL059W	-0.390416794634	1.76768041369	18	L-Arginine	PKP2	1
188.06	YFL033C	-0.299038184737	1.85905902358	18	N-Acetyl-L-glutamate	RIM15	0
205.04	YIL042C	-0.272328711372	1.88576849695	18	Lipoate	PKP1	0
611.15	YIL035C	-0.262563303497	1.89553390482	18	Glutathione disulfide	CKA1	0
249.06	YBR136W	-0.238504556501	1.91959265182	18	gamma-L-Glutamyl-L-cysteine	MEC1	0
191.02	YFL033C	-0.223179350857	1.93491785746	18	Citrate	RIM15	0
191.02	YJL141C	-0.201286307438	1.95681090088	18	Citrate	YAK1	0
205.04	YFL033C	-0.191086650574	1.96701055775	18	Lipoate	RIM15	0
188.06	YGL059W	-0.187508941714	1.97058826661	18	N-Acetyl-L-glutamate	PKP2	0
611.15	YGL059W	-0.181730155419	1.9763670529	18	Glutathione disulfide	PKP2	0
