Metabolites,ion,Kinases/Phosphatases,feature,coef,coef (abs),cor,pval,fdr
gamma-Amino-gamma-cyanobutanoate,127.0500,RIM15,YFL033C,-0.629081147139,0.629081147139,-0.560672653943,0.00191288894507,0.0141778827694
L-Glutamine,145.0600,RIM15,YFL033C,-0.519285514864,0.519285514864,-0.548159574665,0.00252868498207,0.0167209100393
dUDP,387.0000,RIM15,YFL033C,-0.518728685025,0.518728685025,-0.596615369232,0.00080500704796,0.0075133991143
dUDP,387.0000,TPK1,YJL164C,0.425334688666,0.425334688666,0.587102501566,0.00102217634026,0.00858628125822
gamma-Amino-gamma-cyanobutanoate,127.0500,CDC5,YMR001C,0.414294887714,0.414294887714,0.259780462184,0.181872569689,0.402034101418
L-Glutamine,145.0600,CDC5,YMR001C,0.370890024256,0.370890024256,0.266202439005,0.170922723012,0.391220465359
L-Glutamine,145.0600,TPK1,YJL164C,0.368918595308,0.368918595308,0.491851421414,0.00785115613226,0.0373300253836
IMP,347.0400,RIM15,YFL033C,-0.366467033635,0.366467033635,-0.695055611915,4.0474958188e-05,0.00165975353245
gamma-Amino-gamma-cyanobutanoate,127.0500,TPK1,YJL164C,0.351353147005,0.351353147005,0.499606327133,0.00679130308277,0.0335570269972
L-Proline,114.0600,CDC5,YMR001C,-0.349606849211,0.349606849211,-0.318161984697,0.098944171438,0.2833401273
L-Proline,114.0600,RIM15,YFL033C,0.319617870013,0.319617870013,0.484985461846,0.008902610843,0.0415455172673
dUDP,387.0000,TOR1,YJR066W,-0.318969762568,0.318969762568,-0.105152568037,0.594360996385,0.748894855445
gamma-Amino-gamma-cyanobutanoate,127.0500,YAK1,YJL141C,-0.317269603781,0.317269603781,-0.553069329583,0.00226931746726,0.0163390857642
L-Glutamine,145.0600,YAK1,YJL141C,-0.311017498205,0.311017498205,-0.543486273732,0.00279883664241,0.0167209100393
dUDP,387.0000,CDC5,YMR001C,0.308672705267,0.308672705267,0.217325499936,0.266615240855,0.490416355441
L-Malate,133.0100,TPK1,YJL164C,-0.308159361618,0.308159361618,-0.609345795723,0.000577888363701,0.0056010718328
dUDP,387.0000,YAK1,YJL141C,-0.290071749948,0.290071749948,-0.548697130559,0.00249909870121,0.0167209100393
Inosine,267.0700,YAK1,YJL141C,-0.287901561461,0.287901561461,-0.504571662468,0.00617830240872,0.0311386441399
L-Proline,114.0600,TPK1,YJL164C,-0.251281497231,0.251281497231,-0.583532734785,0.00111592438873,0.00907138535357
L-Proline,114.0600,TOR1,YJR066W,0.234439380616,0.234439380616,0.120716207229,0.540609518905,0.705838298193
L-Citrulline,174.0900,YAK1,YJL141C,-0.231097395841,0.231097395841,-0.637853427041,0.000260771450917,0.00558087547176
gamma-Amino-gamma-cyanobutanoate,127.0500,CKA2,YOR061W,-0.225685688765,0.225685688765,-0.618020070323,0.000457308683147,0.00558087547176
gamma-Amino-gamma-cyanobutanoate,127.0500,CKA1,YIL035C,-0.222213847112,0.222213847112,-0.618353317578,0.000453153639021,0.00558087547176
L-Proline,114.0600,YAK1,YJL141C,0.217902677635,0.217902677635,0.579281635247,0.00123723538887,0.00974322868736
Inosine,267.0700,CDC28,YBR160W,0.20735905199,0.20735905199,0.543385282808,0.00280493790221,0.0167209100393
gamma-Amino-gamma-cyanobutanoate,127.0500,TOR1,YJR066W,-0.204698093758,0.204698093758,-0.0428517595382,0.828589194637,0.903915485059
IMP,347.0400,YAK1,YJL141C,-0.192914759732,0.192914759732,-0.641887666347,0.000231502810087,0.00558087547176
L-Glutamine,145.0600,CKA2,YOR061W,-0.192149841048,0.192149841048,-0.610026547154,0.000567510544883,0.0056010718328
L-Malate,133.0100,CDC5,YMR001C,-0.181055979692,0.181055979692,-0.367985283047,0.0540247606839,0.170177996154
L-Glutamine,145.0600,CKA1,YIL035C,-0.179969771356,0.179969771356,-0.610346285951,0.000562692780354,0.0056010718328
L-Malate,133.0100,MPS1,YDL028C,0.176390461433,0.176390461433,0.291655155286,0.132095080187,0.33287960207
L-Proline,114.0600,CLN2,YPL256C,0.166165173335,0.166165173335,0.00825014190505,0.96676504898,0.974153193293
Inosine,267.0700,TPK1,YJL164C,-0.161107406355,0.161107406355,-0.299844291105,0.121092282587,0.315933890403
L-Glutamine,145.0600,TOR1,YJR066W,-0.160332448064,0.160332448064,-0.0309298564335,0.87584336199,0.925926752822
L-Glutamine,145.0600,CKB2,YOR039W,-0.156544390918,0.156544390918,-0.623461939181,0.000393473278864,0.00558087547176
dUDP,387.0000,CKB2,YOR039W,-0.155668874087,0.155668874087,-0.620684163313,0.000425005803419,0.00558087547176
L-Glutamine,145.0600,CKB1,YGL019W,-0.155651678066,0.155651678066,-0.6258257116,0.000368277354812,0.00558087547176
dUDP,387.0000,CKB1,YGL019W,-0.148377957679,0.148377957679,-0.623278727574,0.000395487887624,0.00558087547176
gamma-Amino-gamma-cyanobutanoate,127.0500,CBK1,YNL161W,-0.147264985908,0.147264985908,0.138838872064,0.481062199942,0.666086122997
L-Proline,114.0600,MPS1,YDL028C,0.147200489152,0.147200489152,-0.0371715794142,0.851040955992,0.918596461324
Inosine,267.0700,TOR1,YJR066W,-0.146458820293,0.146458820293,-0.342528075912,0.074379423312,0.228580666764
N-Acetyl-L-glutamyl 5-phosphate,268.0200,RIM15,YFL033C,-0.135166269247,0.135166269247,-0.548037315351,0.00253545582611,0.0167209100393
L-Proline,114.0600,CBK1,YNL161W,0.1339096963,0.1339096963,-0.199919735954,0.307733743056,0.523096089965
