	NaCl+alpha_1200	NaCl+alpha_2700	NaCl+alpha_300	NaCl+alpha_60	NaCl+alpha_600	NaCl_1200	NaCl_2700	NaCl_300	NaCl_60	NaCl_600	alpha_1200	alpha_2700	alpha_300	alpha_60	alpha_600
YBL046W						0.484921324924	0.658763376761	0.431563585583	0.764976840505	0.439615077028					0.538651566352
YBL056W	1.08671609824	0.739451627363	1.12262865413	1.19449914184	1.20273245917	1.18045606446	0.910094888561	1.34294414714	1.5376020021	1.23807216158	0.761201437286	0.528708288941	0.683400697906	0.52389328316	0.681310730052
YBL088C	-0.619607839943	-1.43297363384	-1.28149831113	0.325230685985	-0.789681480174	-0.573651426212	-0.556267758598	-0.347463581407	0.486782399932	-0.370998380713	-0.855737226238	-0.608535588161	-0.64378286578	-0.66837028237	-0.879097182385
YBR136W	-0.620150821237	-1.45967052521	-1.26921772433	0.330218384791	-0.762205006726	-0.479647495917	-0.301551461985	-0.336770365467	0.567511744229	-0.35076252765	-0.838931614529	-0.592609095529	-0.636952405479	-0.678608721688	-0.582528306797
YBR160W	0.523458190973	0.459545386329	0.610302451794	0.34978964534	0.520856752021	0.277366077466	-1.26921772433	0.34409358182	0.415668775632	-0.477816682381	0.694433686485	0.53655496823	-1.06499684855	0.579549140894	0.901010360599
YDL006W	0.396747338018	-0.432033093177	-0.30829979171	-0.311491192343	0.662540738709	0.758204568705	0.457050151186	0.843450848668	0.824198367152	1.0204516253	-0.660946264291	-0.663740447986	-0.68026950567	-0.474695990042	-0.651305809734
YDL028C	-0.611898798429	0.369368755979	-0.641684359918	-0.326886895762	-0.540004743953	-0.788612447063	-0.414652088905	-0.376750709602	-0.463189134008	-0.633763876282	-0.40538649084	0.582528306797	-0.399571674268	-0.314526980277	-0.414652088905
YDL101C	0.353792387793					0.643591672961		0.7070797004	0.579054594078	1.04817696468					
YDL159W	-0.382475465114	1.75696195131	0.928486194905		0.945386945443	-0.462810773756	-1.83268266525		-0.528121800693		2.18708664336	2.22914798836	1.42596873227		1.49079747767
YDR028C	-2.65757731918		-1.32422165833	-1.42365864979	-1.52287874528	-1.87942606879	-2.50863830617	-1.08937559511	-1.08830984125	-1.60032627852	-1.82390874094		-1.94692155652	-0.921905849594	-1.16052195263
YDR075W						0.482936126517	0.663340176546	0.428291168191	0.778846678045	0.451733454829					0.539102157243
YDR477W	-1.65169513695		-0.452594540333	0.862329462763	0.623240604595	-0.835944708107	-0.905528871358	0.30024896831	0.853871964322	-0.377578726024	-0.544393887418		-0.569763646588	0.640354207325	0.804100347591
YER089C	1.09636748392	0.754487332186	1.15989390554	1.189767482	1.25336580106	1.14752000636	0.912573542964	1.28567024025	1.54211810327	1.23807216158	0.758951849328	0.540758335122	0.706858516549	0.529736553035	0.686554629574
YER133W	-2.85387196432		-1.34969247687	-1.43415218133	-1.52724355068	-1.90657831484	-2.52287874528	-1.06298389254	-1.05354773499	-1.58335949266	-1.80966830183		-1.99139982824	-0.925549281045	-1.20411998266
YFL029C	-1.8601209136	-0.361011840656	0.508498233763	-1.09044397076	-0.548213564476	0.388276691993	-0.315064917359	-0.455435902504	-0.414539270491	0.38605252322	-1.07262963696	-0.540306023522	0.644548479873	-1.14752000636	0.386263858738
YFL033C		-1.09474395125	0.523748203993	0.592609095529	0.704432900038	0.605373235728	-0.32102662408	1.09582563172	1.24336389175	1.0048037084	-0.505984625243	0.357337668558	0.705754283862	-0.89448981523	0.422623108083
YGL019W	-0.690369832574	-0.745210312603	-1.0159229661	0.793174123968	-0.661742769754	-0.342657263185	-0.65678840982	-0.409381051793	-0.660747365967	0.409715596282	-0.524619406857	-0.486649201194	-1.01188715973	0.430275050774	-0.684869682816
YGL059W	-0.69940451611	-0.713094647028	-0.353890478021	-0.713319030645	-0.365925974513	-0.586867949565	-0.850165303284	0.317674381332	-0.354577730651	-0.443456291516	-0.771599641297	-0.439256698945	-0.450261268735	-0.726998727936	-0.421704694879
YGL134W	-0.378823718225	0.387428045935	-0.409046764812	-0.960982678003	-0.709297756712	0.351054817834	0.820735535661	-0.55720677406	0.305219363988	-0.421017157297	-0.637894680706	-0.684029654543	0.441651491238	-0.681727919788	-0.505845405982
YHL007C	-0.301116863247	-0.504316932383	-2.15490195999		-0.579384229374	-0.514988785421	0.307858390633	-0.610833915635	-0.474566446571	-0.585193720499	-0.340178841944	-0.354774288465	-2.52287874528		0.334043970546
YHR135C	0.309538106754	0.76045027916	0.420788219769	0.564155634016	1.01908806222	1.24184537803	1.63078414259	0.570086302236	0.563837352959	0.821023052707	-0.476123524362	0.491874463917	0.997833938243	1.26680273489	1.14935376482
YIL035C	-0.864231485432	-0.71063404848	-1.25336580106	0.73754891027	-0.74256143314	-0.334043970546	-0.754734160543	-0.423428315935	-0.677573947594	0.386686838545	-0.667763584509	-0.545155139991	-1.33724216832	0.379655700246	-0.925183559355
YIL042C	-0.693146251307	-0.698752911364	-0.35340024828	-0.716698771296	-0.367239111521	-0.585695311872	-0.850780887345	0.307329300844	-0.353204311222	-0.437826136635	-0.743282254023	-0.426664159934	-0.459545386329	-0.722390785696	-0.413412695328
YIL095W	-0.5312097379	-0.531062194335	-0.691862621362	-0.503485481302	-0.557050130422	-0.379759810154	-0.416687848017	-0.428873722916	0.767257937279	-0.519418213171	-1.25963731051	-0.474307475495	-0.804931003531	-0.575118363369	-0.531062194335
YJL128C	0.945386945443	0.451487743659	1.26042765555	1.76447155309	0.811915626285	0.941573975543	0.842845560094	1.06449273418	1.00966114521	1.36754270782	0.330311291944	-0.327902142064	-0.303206914918	0.308476477832	0.312917155396
YJL141C	-0.406160338919	-0.573001041243	-0.590066876669	0.315873074387	-0.341702349692	-0.330497165896	0.367947833294	0.340178841944	-0.307946634966	-0.388701637704	-0.317764643097	-0.368454772166	-0.43486084803	0.439854160151	-0.330962199115
YJL164C	-2.06048074738	-1.3142582614	-0.514846650096	-2.10237290871	-1.95860731484	-1.09908693226	-0.628562682596	0.30927245613	0.321937095026	-0.729554091982	-1.19449914184	-2.40893539297	-1.50168944621	-1.41680122603	-0.66837028237
YJR066W	0.34208406317	-0.575771929304	-0.450996737974		0.835647144216	-0.944239535312	-0.549289121853	-1.23657200644	-0.804100347591	-1.68193666504	0.774949303862	-0.379968104874	1.62160209905	-0.374584647846	1.43533393575
YLR113W	0.76095090686		0.506263197723		0.524183586969	0.681519274825	0.792365632611	0.47301493144	0.414313721548	0.664341547711	0.618163200002		0.842543231866		0.551293680095
