	YBL016W	YBL088C	YBR028C	YBR097W	YBR125C	YBR274W	YCR008W	YCR091W	YDL006W	YDL047W	YDL101C	YDR075W	YDR477W	YFR014C	YGR123C	YHR030C	YHR082C	YIL035C	YIR026C	YJL095W	YJL128C	YJR059W	YKL048C	YKL126W	YKL139W	YKL161C	YKL166C	YKL168C	YLL010C	YLR113W	YLR362W	YML016C	YMR139W	YMR216C	YNL032W	YNL099C	YNL298W	YNL307C	YNR031C	YNR032W	YOL016C	YOR061W	YPL031C	YPL140C
YAL009W	0.164146976017	-0.196872926483	1.2433015511	-0.361702762122	-0.311433242624		-0.266074869759	-0.197425539844		0.0911104004596	-0.586543240912	0.396468551359	0.0147450795031	-0.13515245048	0.320540955105	-0.0594174832952			0.211343192883		-0.211734438769	0.453171868537		-0.476805553614		-0.370015702347	-0.315041471422	-0.083960451526	-0.404120314656	-0.172789221152	0.098613872519	0.305719804149	-0.123804670514	-0.290033019368	-0.0351753882338	0.0959179581996	-0.344106003803	-0.380370980601	-0.198725804644		0.162442583172	-0.0889002286973	-0.116546362896	-0.148537551512
YBL056W														0.227019117467													0.373861504431							-0.219156367793			0.254453573515							
YBL088C		0.12955562635	-0.112267347874	0.392608970294	0.110851501364	0.075391843444	0.243705786813	0.17748951477	-0.281153114288	0.0357111645614	2.2631865072	2.82106172683	-0.00954196504856	-0.020711309487	0.0216960816406		-0.153096403837	0.351397635497	-0.0706477275836		-0.11643781931	0.181339180944	-0.255182918335	-0.586071536298		-0.19690440986	0.119851221581	0.522328983955	0.0905880431498	0.0478642418363	-0.443182098244		0.415927266522	0.0926732807213	0.0999798216621	-0.000975120258027	0.215447874786	0.248125778897	-0.121905892608	-0.0349980557187	0.17436588317	0.0817514046405	-0.0206804310262	-0.102561007932
YBR136W		0.12955562635	-0.112267347874	0.392608970294	0.110851501364	0.075391843444	0.243705786813	0.17748951477	-0.281153114288	0.0357111645614	2.2631865072	2.82106172683	-0.00954196504856	-0.020711309487	0.0216960816406		-0.153096403837	0.351397635497	-0.0706477275836		-0.11643781931	0.181339180944	-0.255182918335	-0.586071536298		-0.19690440986	0.119851221581	0.522328983955	0.0905880431498	0.0478642418363	-0.443182098244		0.415927266522	0.0926732807213	0.0999798216621	-0.000975120258027	0.215447874786	0.248125778897	-0.121905892608	-0.0349980557187	0.17436588317	0.0817514046405	-0.0206804310262	-0.102561007932
YBR160W	-0.103406347836	0.266175885468	-0.53623657914	0.0632896931358	0.550628807236	0.0671135278161	0.362578486594	0.457614697057	-0.749286235054	0.203575150433	0.618659830945	0.348657483024	0.54959355022	0.724867376566	-0.302837444809	0.258095051676	0.192063504215	0.459830237526	-0.0753283759923	-0.0963549770451	0.124387378216	0.173978541201	-0.446288896908	0.379812869173	-0.263833684458	0.193922568674	0.543027618047	0.336231619623	0.52845446927	-0.499595194452	0.0673402862417	-0.186538979532	0.0805810587203	0.241584370558	0.21169963509	0.387326441051	0.0935313688998	0.54882830866	-0.0147252568157	-0.0531069837498	-0.531484199638	-0.107705767465	0.055503828982	-0.0114194591845
YBR274W							1.40212984563		0.393624114845			1.00740284429		-0.660408276408							0.658667729246							1.7021758448	0.865518003441	0.254719387026			1.30204828153	0.902509369555							0.0607073699823			1.63397483232
YDL006W		-0.43769957389			0.122032702679			0.0837285660219					0.171417451583											-0.0048512744283		-0.730354347179			-0.236410281269				-0.413657137854		-0.0509845659462							0.10209703021	-0.154672251299	0.554662154367
YDL028C	0.0462185012976	0.074392253269	0.11277672337	-0.489286893938	0.496209401338	-0.552749777176	-0.00850953043181	0.274624804014	-0.0212238790296	0.00283967258325	-0.18483354359	-0.00984873508985	0.055000856097	-0.334170122364	0.412210367632	0.392736768357	0.0258915070894	0.458163145734	0.355334654158	0.0951415250609	0.265325506897	0.251887808018	0.756620310223	0.0418902476089	-0.19373752455	0.113487631421	0.442991642499	0.334874246874	0.0758699995054	0.224620088161	-0.191647070542	0.70556925406	0.109462490666	-0.0205588534422	0.202144100937	-0.162979064189	-0.0823127396569	0.331562422586	-0.124573478511	0.11019195774	0.171011352026	-0.174920937647	0.144509801656	0.437409703895
YDL101C	0.14416147833	1.66169718244			-0.213287052474			1.76176753242					0.719038713226		-0.328638777079			0.0555399106669						0.64009758228	-0.120604780105			0.226269464361		-0.343142485661	0.0286824139754				0.0881953046221						0.0937382737911		1.54334233747	1.30000307911
YDR028C												2.02352160563																										0.116012889362						
