kinase	metabolite	rsquared_adj	coef	pvalue	ci_lb	ci_ub	metabolite_name	kinase_name
YFL033C	132.03	0.662667324187	0.448658459141	0.0283374966382	0.0550222925517	0.84229462573	L-Aspartate; D-Aspartate	RIM15;TAK1
YNL161W	132.03	0.662667324187	-0.496865935455	0.0998616574463	-1.1016385878	0.10790671689	L-Aspartate; D-Aspartate	CBK1
YIL035C	128.04	0.651547130104	-0.290417038677	0.528260751213	-1.24915695726	0.668322879909	1-Pyrroline-4-hydroxy-2-carboxylate; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate	CKA1
YJL164C	128.04	0.651547130104	0.64678148331	0.00133343251999	0.296110996175	0.997451970446	1-Pyrroline-4-hydroxy-2-carboxylate; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate	TPK1;PKA1;SRA3
YOR061W	128.04	0.651547130104	-0.290417037132	0.528260753379	-1.24915695572	0.668322881454	1-Pyrroline-4-hydroxy-2-carboxylate; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate	CKA2
YOR039W	128.04	0.651547130104	-0.29041703716	0.528260753339	-1.24915695575	0.668322881426	1-Pyrroline-4-hydroxy-2-carboxylate; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate	CKB2
YGL019W	128.04	0.651547130104	-0.290417038238	0.528260751829	-1.24915695682	0.668322880348	1-Pyrroline-4-hydroxy-2-carboxylate; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate	CKB1
YGL019W	127.05	0.585992675328	-0.599911613097	0.579865803696	-2.8596823698	1.65985914361	5,6-Dihydrothymine; gamma-Amino-gamma-cyanobutanoate	CKB1
YJL164C	127.05	0.585992675328	1.34185979615	0.00349681327042	0.515321861616	2.16839773069	5,6-Dihydrothymine; gamma-Amino-gamma-cyanobutanoate	TPK1;PKA1;SRA3
YOR061W	127.05	0.585992675328	-0.599911610801	0.579865805131	-2.8596823675	1.6598591459	5,6-Dihydrothymine; gamma-Amino-gamma-cyanobutanoate	CKA2
YOR039W	127.05	0.585992675328	-0.599911610861	0.579865805094	-2.85968236756	1.65985914584	5,6-Dihydrothymine; gamma-Amino-gamma-cyanobutanoate	CKB2
YIL035C	127.05	0.585992675328	-0.599911614009	0.579865803125	-2.85968237071	1.65985914269	5,6-Dihydrothymine; gamma-Amino-gamma-cyanobutanoate	CKA1
YJL164C	145.06	0.551168086298	1.52288755231	0.000535956131579	0.774363473505	2.27141163112	L-Glutamine; 3-Ureidoisobutyrate; Isoglutamine	TPK1;PKA1;SRA3
YJL164C	347.04	0.508206785372	0.305598222446	0.0429433955528	0.0118042480202	0.599392196872	IMP	TPK1;PKA1;SRA3
YFL033C	347.04	0.508206785372	-0.464928634432	0.0527395205431	-0.936522703232	0.00666543436845	IMP	RIM15;TAK1
YGL019W	114.06	0.490623902574	0.181742092831	0.828331008474	-1.637462325	2.00094651067	L-Proline; 3-Acetamidopropanal; D-Proline	CKB1
YOR039W	114.06	0.490623902574	0.181742097264	0.828331004362	-1.63746232057	2.0009465151	L-Proline; 3-Acetamidopropanal; D-Proline	CKB2
YOR061W	114.06	0.490623902574	0.181742097412	0.828331004225	-1.63746232042	2.00094651525	L-Proline; 3-Acetamidopropanal; D-Proline	CKA2
YIL095W	114.06	0.490623902574	-0.435529408138	0.75317896807	-3.43779063513	2.56673181886	L-Proline; 3-Acetamidopropanal; D-Proline	PRK1;PAK1
