condition	time	time_perturbation	OD600	sample
N_upshift	0	-14.75	0.079	BY003
N_upshift	3	-11.75	0.106	BY003
N_upshift	11.25	-3.5	0.462	BY003
N_upshift	13	-1.75	0.64	BY003
N_upshift	14.25	-0.5	0.88	BY003
N_upshift	14.75	0	1.02	BY003
N_upshift	15	0.25	1.08	BY003
N_upshift	15.75	1	1.23	BY003
N_upshift	16.25	1.5	1.36	BY003
N_upshift	16.75	2	1.38	BY003
N_upshift	17.75	3	1.5	BY003
N_upshift	0	-16.5	0.077	BY008
N_upshift	4.5	-12	0.112	BY008
N_upshift	12.5	-4	0.426	BY008
N_upshift	13.5	-3	0.48	BY008
N_upshift	14.5	-2	0.58	BY008
N_upshift	15.5	-1	0.66	BY008
N_upshift	16.17	-0.33	0.78	BY008
N_upshift	16.5	0	0.85	BY008
N_upshift	17	0.5	1.09	BY008
N_upshift	17.5	1	1.29	BY008
N_upshift	18	1.5	1.28	BY008
N_upshift	18.5	2	1.17	BY008
N_upshift	19.5	3	1.58	BY008
N_upshift	0	-15.16	0.081	BY012
N_upshift	13.25	-1.91	0.85	BY012
N_upshift	15	-0.16	1.27	BY012
N_upshift	15.16	0	1.33	BY012
N_upshift	15.5	0.34	1.4	BY012
N_upshift	15.67	0.51	1.47	BY012
N_upshift	15.8	0.64	1.51	BY012
N_upshift	16.07	0.91	1.55	BY012
N_upshift	16.25	1.09	1.62	BY012
N_upshift	16.63	1.47	1.7	BY012
N_upshift	16.82	1.66	1.72	BY012
N_upshift	17.25	2.09	1.68	BY012
N_upshift	17.32	2.16	1.7	BY012
N_upshift	18.32	3.16	2.12	BY012
N_downshift	0	-13	0.033	BY009
N_downshift	8	-5	0.138	BY009
N_downshift	9	-4	0.192	BY009
N_downshift	10.33	-2.67	0.302	BY009
N_downshift	11	-2	0.399	BY009
N_downshift	11.5	-1.5	0.477	BY009
N_downshift	12	-1	0.55	BY009
N_downshift	12.33	-0.67	0.625	BY009
N_downshift	12.5	-0.5	0.705	BY009
N_downshift	12.75	-0.25	0.75	BY009
N_downshift	13.08	0.08	0.82	BY009
N_downshift	13.25	0.25	0.91	BY009
N_downshift	13.75	0.75	1.12	BY009
N_downshift	14.25	1.25	1.21	BY009
N_downshift	15	2	1.45	BY009
N_downshift	0	-11.41	0.037	BY010
N_downshift	8	-3.41	0.25	BY010
N_downshift	9	-2.41	0.348	BY010
N_downshift	10	-1.41	0.54	BY010
N_downshift	10.5	-0.91	0.625	BY010
N_downshift	11	-0.41	0.75	BY010
N_downshift	11.167	-0.243	0.74	BY010
N_downshift	11.5	0.09	0.94	BY010
N_downshift	12	0.59	1.06	BY010
N_downshift	12.5	1.09	1.22	BY010
N_downshift	13	1.59	1.31	BY010
N_downshift	13.5	2.09	1.41	BY010
N_downshift	0	-13.1	0.03	BY013
N_downshift	8.5	-4.6	0.168	BY013
N_downshift	9.5	-3.6	0.24	BY013
N_downshift	10.5	-2.6	0.333	BY013
N_downshift	11	-2.1	0.42	BY013
N_downshift	11.5	-1.6	0.52	BY013
N_downshift	12	-1.1	0.605	BY013
N_downshift	12.5	-0.6	0.675	BY013
N_downshift	12.75	-0.35	0.72	BY013
N_downshift	12.83	-0.27	0.79	BY013
N_downshift	13.25	0.15	0.89	BY013
N_downshift	13.37	0.27	0.92	BY013
N_downshift	13.63	0.53	1.07	BY013
N_downshift	14	0.9	1.08	BY013
N_downshift	14.5	1.4	1.26	BY013
Rapamycin	0	-12.08	0.033	BY005
Rapamycin	8	-4.08	0.17	BY005
Rapamycin	9	-3.08	0.248	BY005
Rapamycin	10	-2.08	0.342	BY005
Rapamycin	11	-1.08	0.525	BY005
Rapamycin	11.67	-0.41	0.64	BY005
Rapamycin	12.08	0	0.76	BY005
Rapamycin	12.25	0.17	0.78	BY005
Rapamycin	12.83	0.75	0.93	BY005
Rapamycin	13.4	1.32	1.08	BY005
Rapamycin	14	1.92	1.2	BY005
Rapamycin	14.5	2.42	1.73	BY005
Rapamycin	0	-13.83	0.022	BY006
Rapamycin	8	-5.83	0.102	BY006
Rapamycin	10.25	-3.58	0.222	BY006
Rapamycin	11	-2.83	0.291	BY006
Rapamycin	12	-1.83	0.426	BY006
Rapamycin	13	-0.83	0.63	BY006
Rapamycin	13.83	0	0.87	BY006
Rapamycin	14.2	0.37	0.99	BY006
Rapamycin	14.5	0.67	1.12	BY006
Rapamycin	14.75	0.92	1.21	BY006
Rapamycin	15.5	1.67	1.39	BY006
Rapamycin	16	2.17	1.57	BY006
Rapamycin	0	-12.75	0.033	BY007
Rapamycin	8.25	-4.5	0.172	BY007
Rapamycin	9.25	-3.5	0.246	BY007
Rapamycin	10.25	-2.5	0.342	BY007
Rapamycin	11.25	-1.5	0.49	BY007
Rapamycin	12	-0.75	0.67	BY007
Rapamycin	12.75	0	0.92	BY007
Rapamycin	13	0.25	1.07	BY007
Rapamycin	13.3	0.55	1.17	BY007
Rapamycin	13.75	1	1.34	BY007
Rapamycin	14.75	2	1.42	BY007
Rapamycin	15.25	2.5	1.54	BY007
