site	YAL017W	YAR019C	YBL009W	YBL016W	YBL056W	YBL088C	YBR028C	YBR059C	YBR097W	YBR125C	YBR160W	YBR274W	YBR276C	YCR008W	YCR079W	YCR091W	YDL006W	YDL025C	YDL028C	YDL047W	YDL079C	YDL101C	YDL108W	YDL134C	YDL188C	YDL214C	YDL230W	YDR075W	YDR122W	YDR247W	YDR283C	YDR466W	YDR477W	YDR523C	YER129W	YFR014C	YGL021W	YGL059W	YGL179C	YGL180W	YGR040W	YGR123C	YGR188C	YGR203W	YGR262C	YHR030C	YHR076W	YHR082C	YHR135C	YIL035C	YIL042C	YIL095W	YIL113W	YIR026C	YJL095W	YJL106W	YJL128C	YJL164C	YJL165C	YJL187C	YJR059W	YJR066W	YKL048C	YKL101W	YKL116C	YKL126W	YKL139W	YKL161C	YKL166C	YKL168C	YKL171W	YKL198C	YLL010C	YLL019C	YLR019W	YLR096W	YLR113W	YLR240W	YLR248W	YLR362W	YLR433C	YML016C	YML057W	YMR104C	YMR139W	YMR216C	YMR291W	YNL020C	YNL032W	YNL099C	YNL154C	YNL161W	YNL298W	YNL307C	YNR031C	YNR032W	YOL016C	YOL045W	YOL100W	YOL113W	YOL128C	YOR061W	YOR090C	YOR119C	YOR208W	YOR231W	YOR233W	YOR267C	YOR351C	YPL026C	YPL031C	YPL042C	YPL140C	YPL141C	YPL150W	YPL179W	YPL203W	YPL204W	YPL236C	YPR054W	YPR073C	YPR106W	YPR111W	YPR161C
YAL001C_S493_T494	0.985											0.226		0.703			-0.562							-0.687					-0.474					0.8140000000000001	-0.519	-1.2109999999999999		-0.935			0.113		1.026		2.7910000000000004						0.163									-0.35200000000000004		0.237		0.498						0.069	0.924		1.8259999999999998		1.02		-0.185			-0.233			-0.11199999999999999	0.462	1.182		0.431	-0.28300000000000003									0.068	0.156					0.634					-1.057									-0.32							
YAL001C_S84_T88																																																																																																																-0.17600000000000002												
YAL003W_S69_S86				-0.185																																																														0.254	-2.247																																																									
YAL017W_S1020_S1023		-0.723																																							-0.601				-0.084															0.581										-0.63		0.34700000000000003			-0.41100000000000003										-0.639													-0.682	-0.38																									
YAL017W_S1020_T1021																		0.48700000000000004																																0.239																			0.18600000000000003				-0.8170000000000001																																																			
YAL017W_T1021_S1023					-0.23	-0.307				-0.747						-0.071																								0.315																	0.19																				1.131																				0.5870000000000001			0.889		0.6890000000000001												-0.018000000000000002										
YAL019W_S999_T1000																																							-0.67																													-1.084						0.9059999999999999																																																		
YAL019W_T1071_T1072_T1075					0.775																																			0.7170000000000001																																																																																				
YAL021C_C762_S774																																																																																																																	0.631	0.071										
YAL021C_S278_S281															0.057		0.001				-0.022000000000000002	-1.2109999999999999					0.17300000000000001					-0.523																	-1.0590000000000002																		-5.86																					0.564	0.095					-0.8759999999999999															-1.1320000000000001		-6.7589999999999995													
YAL021C_S278_S281_T285																											-0.41						-0.557																												-0.47600000000000003																																			-0.146									-0.017	-1.061																		
YAL021C_S278_T282	-0.172	-0.24100000000000002			-0.449	-0.523	-0.242			-1.899	0.42200000000000004	-0.033	0.032			-0.43				-7.0329999999999995			-1.51			-0.593			-0.147					0.309		-0.541	0.361		-0.09	-0.35700000000000004	-0.311									-0.8290000000000001	-0.387					-0.419				0.6709999999999999	-0.325	0.307		-1.689				0.11				-0.7609999999999999	-0.7609999999999999	0.767			0.773				-0.249		-0.27899999999999997				-1.173			-0.7090000000000001		-0.063			-0.046	0.316		-0.26899999999999996		0.521	-0.41700000000000004	0.22899999999999998	-0.23800000000000002	-0.22899999999999998	-0.055999999999999994					0.6920000000000001					-0.009000000000000001			-0.337		-0.062	0.001		0.434	
YAL021C_S278_T282_T285													-0.028999999999999998																																																																																																															
YAL021C_S281_T282																																																																																								0.266																																				
YAL023C_S32_S34																																																																																									0.588																																			
YAL023C_S34_S38																	-0.541																																																														-0.22899999999999998																																		-0.6579999999999999	0.133										
YAL023C_S34_S39					-0.256										0.621					-1.061																			0.212								0.764				0.046						0.706											1.11						2.31																																																		
YAL023C_S38_S39															-0.001																																																								0.294																	0.679																																				
YAL031C_S492_S499																																																		0.001				0.616	-0.727																										-0.5670000000000001									-0.534												1.569																						
YAL031C_S492_S501	0.649														0.541						0.7929999999999999	-0.17600000000000002										1.063																																							0.948			2.29														1.959						0.162																1.222													0.154	
YAL031C_S494_S495_S501	-0.036000000000000004	-0.654					-0.36200000000000004				0.6829999999999999						-0.1		0.36200000000000004				0.055999999999999994		-1.6740000000000002																														-0.615								-0.41600000000000004																0.627		-0.87											0.165												-0.017														0.42						
YAL031C_S494_S497																																																																																									2.912																																			
YAL031C_S494_S497_S501																																																																																																														0.9259999999999999													0.263	
YAL031C_S495_S497_S501														0.667	0.22																	-0.66		-0.03			0.308		-0.237											-0.45	-0.36700000000000005			-0.8029999999999999														0.14300000000000002						1.859													-0.732										0.165																											
YAL031C_S497_S499										-0.596																																																																																																																		
YAL031C_S497_S501		-0.611									-0.774						0.643		0.18600000000000003				-0.9359999999999999																																	-1.271																																				-0.556										1.4969999999999999		0.261														0.555						
YAL031C_S499_S501												-0.054000000000000006																					-0.8490000000000001	0.524							-0.08199999999999999																				-1.126																												1.3530000000000002									-0.09699999999999999								-0.331															-0.741			
YAL031C_S605_S609																																																											0.525																																																																	
YAL035W_S381_T386															1.014																																																								0.436																		0.8370000000000001																																			
YAL035W_S381_T386_T390																																																													-0.14300000000000002																																																															
YAL035W_T382_T386_T392																	0.424																																														-0.11599999999999999																0.125																																													
YAL038W_Y117_C121																																									0.172																																																								-1.3519999999999999	-1.0659999999999998																										
YAL040C_S405_C413_Y415_T420																																																																																																																-2.189												
