index	mz	tic	mzdelta	id	score	formula	mod	name
1	58.0057	0.7355	3.30E-04	ac	100	C2H3O2	-H(+)	Acetate
2	59.0135	0.8219	3.43E-04	gcald	100	C2H4O2	-H(+)	Glycolaldehyde
3	71.0135	0.8336	3.63E-04	mthgxl	100	C3H4O2	-H(+)	Methylglyoxal
4	73.0292	0.8238	2.90E-04	lald_L	100	C3H6O2	-H(+)	L-Lactaldehyde
5	74.0244	0.9056	3.27E-04	gly	100	C2H5NO2	-H(+)	Glycine
6	87.0087	0.8889	1.84E-05	pyr	100	C3H4O3	-H(+)	Pyruvate
7	88.0401	-0.3577	3.10E-04	ala_B	100	C3H7NO2	-H(+)	beta-Alanine
7	88.0401	-0.3577	3.10E-04	ala_L	100	C3H7NO2	-H(+)	L-Alanine
8	89.0241	0.9278	2.92E-04	dha	100	C3H6O3	-H(+)	Dihydroxyacetone
8	89.0241	0.9278	2.92E-04	glyald	100	C3H6O3	-H(+)	D-Glyceraldehyde
8	89.0241	0.9278	2.92E-04	lac_D	100	C3H6O3	-H(+)	D-Lactate
8	89.0241	0.9278	2.92E-04	lac_L	100	C3H6O3	-H(+)	L-Lactate
9	96.9599	0.9283	1.60E-04	so4	100	H2SO4	-H(+)	Sulfate
10	101.0241	0.9474	2.98E-04	acac	100	C4H6O3	-H(+)	Acetoacetate
10	101.0241	0.9474	2.98E-04	sucsal	100	C4H6O3	-H(+)	Succinic semialdehyde
10	101.0241	0.9474	2.98E-04	2obut	100	C4H6O3	-H(+)	2-Oxobutanoate
11	102.056	0.9134	9.10E-05	4abut	100	C4H9NO2	-H(+)	4-Aminobutanoate
12	111.0197	0.9328	2.78E-04	ura	100	C4H4N2O2	-H(+)	Uracil
13	114.0559	0.7495	1.74E-04	pro_L	100	C5H9NO2	-H(+)	L-Proline
14	115.0036	0.7944	8.71E-05	fum	100	C4H4O4	-H(+)	Fumarate
15	115.0292	0.8914	-0.0017	2aobut	60	C4H6NO3	-H(+)	L-2-Amino-3-oxobutanoate
15	115.0292	0.8914	-0.0017	aspsa	60	C4H6NO3	-H(+)	L-Aspartate 4-semialdehyde
16	115.0764	0.8065	5.53E-05	ibutac	100	C6H12O2	-H(+)	isobutyl acetate
17	116.0716	0.9519	1.02E-04	val_L	100	C5H11NO2	-H(+)	L-Valine
18	117.0192	0.7497	1.75E-04	succ	100	C4H6O4	-H(+)	Succinate
19	118.0508	0.9553	1.48E-04	athr_L	100	C4H9NO3	-H(+)	L-Allo-threonine
19	118.0508	0.9553	1.48E-04	hom_L	100	C4H9NO3	-H(+)	L-Homoserine
19	118.0508	0.9553	1.48E-04	thr_L	100	C4H9NO3	-H(+)	L-Threonine
20	122.0248	0.1096	-1.61E-05	nac	100	C6H5NO2	-H(+)	Nicotinate
20	122.0248	0.1096	7.85E-05	2amsa	40	C3H5NO3	+F(-)	2-Aminomalonate semialdehyde
21	127.0513	0.9466	1.49E-05	acybut	100	C5H8N2O2	-H(+)	gamma-Amino-gamma-cyanobutanoate
22	128.035	0.9725	2.74E-04	1p3h5c	100	C5H7NO3	-H(+)	L-1-Pyrroline-3-hydroxy-5-carboxylate
23	129.0191	0.9013	2.02E-04	itacon	100	C5H6O4	-H(+)	Itaconate
24	129.0556	0.8631	1.58E-04	3mop	100	C6H10O3	-H(+)	(S)-3-Methyl-2-oxopentanoate
24	129.0556	0.8631	1.58E-04	4mop	100	C6H10O3	-H(+)	4-Methyl-2-oxopentanoate
25	129.092	0.752	1.40E-04	iamac	100	C7H14O2	-H(+)	isoamyl acetate
26	130.0513	0.3545	-3.61E-04	4hpro_LT	100	C5H9NO3	-H(+)	trans-4-Hydroxy-L-proline
26	130.0513	0.3545	-3.61E-04	5aop	100	C5H9NO3	-H(+)	5-Amino-4-oxopentanoate
26	130.0513	0.3545	-3.61E-04	glu5sa	100	C5H9NO3	-H(+)	L-Glutamate 5-semialdehyde
27	130.087	0.9636	3.19E-04	ile_L	100	C6H13NO2	-H(+)	L-Isoleucine
27	130.087	0.9636	3.19E-04	leu_L	100	C6H13NO2	-H(+)	L-Leucine
28	131.0349	0.9312	8.17E-05	alac_S	100	C5H8O4	-H(+)	(S)-2-Acetolactate
