id	name	formula	mz	mod	ion
s_0006	(2E)-3-(methoxycarbonyl)pent-2-enedioic acid	C7H8O6	187.024216	-H(+)	298
s_0007	(2R,3R)-2,3-dihydroxy-3-methylpentanoate	C6H12O4	147.0631081	-H(+)	180
s_0008	(2R,3S)-3-isopropylmalate(2-)	C7H12O5	175.0609996	-H(+)	264
s_0012	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid	C7H10O7	205.0360138	-H(+)	358
s_0013	(5S,6S)-di-HETE	C20H32O4	335.2312817	-H(+)	744
s_0017	(N(omega)-L-arginino)succinic acid	C10H18N4O6	289.1219693	-H(+)	597
s_0018	(R)-2,3-dihydroxy-3-methylbutanoate	C5H10O4	133.048284	-H(+)	143
s_0023	(R)-acetoin	C4H8O2	87.04450366	-H(+)	35
s_0028	(R)-lactate	C3H6O3	89.02482057	-H(+)	37
s_0031	(r)-mevalonate	C6H12O4	147.0631081	-H(+)	180
s_0032	(R)-pantoate	C6H12O4	147.0631081	-H(+)	180
s_0042	(S)-2-acetyl-2-hydroxybutanoate	C6H9O4	144.0439368	-H(+)	169
s_0058	(S)-3-methyl-2-oxopentanoate	C6H10O3	129.0556962	-H(+)	132
s_0064	(S)-dihydroorotate	C5H6N2O4	157.0258367	-H(+)	204
s_0065	(S)-lactaldehyde	C3H6O2	73.02937447	-H(+)	21
s_0066	(S)-lactate	C3H6O3	89.02482057	-H(+)	37
s_0069	(S)-malate(2-)	C4H6O5	133.0135891	-H(+)	141
s_0081	1-(sn-glycero-3-phospho)-1D-myo-inositol	C9H19O11P	333.0582661	-H(+)	736
s_0118	1-pyrroline-3-hydroxy-5-carboxylic acid	C5H7NO3	128.0352619	-H(+)	129
s_0120	1-pyrroline-5-carboxylate	C5H7NO2	112.039507	-H(+)	78
s_0127	1d-myo-inositol 1,4,5-trisphosphate	C6H15O15P3	418.9592104	-H(+)	969
s_0128	1D-myo-inositol 1-phosphate	C6H13O9P	259.0226222	-H(+)	497
s_0130	1D-myo-inositol 3-phosphate	C6H13O9P	259.0226222	-H(+)	497
s_0132	1D-myo-inositol 4,5-bisphosphate	C6H14O12P2	338.9893513	-H(+)	758
s_0150	2-acetyllactic acid	C5H8O4	131.0343306	-H(+)	136
s_0156	2-deoxy-D-ribose	C5H10O4	133.048284	-H(+)	143
s_0164	2-hydroxybutyric acid	C4H8O3	103.0395321	-H(+)	64
s_0166	2-hydroxyhexadecanal	C16H32O2	255.2354592	-H(+)	478
s_0167	2-isopropylmalate(2-)	C7H12O5	175.0609996	-H(+)	264
s_0170	2-isopropylmaleic acid	C7H10O4	157.0510526	-H(+)	205
s_0174	2-methylbutanal	C5H10O	85.06479776	-H(+)	32
s_0177	2-methylbutyl acetate	C7H14O2	129.0917385	-H(+)	133
s_0179	2-methylcitrate(3-)	C7H10O7	205.0360138	-H(+)	358
s_0181	2-oxoadipic acid	C6H8O5	159.0293637	-H(+)	216
s_0183	2-oxobutanoate	C4H6O3	101.0245336	-H(+)	61
s_0185	2-oxoglutarate	C5H6O5	145.013384	-H(+)	173
s_0193	2-phospho-D-glyceric acid	C3H7O7P	184.9855709	-H(+)	292
s_0206	3'-phospho-5'-adenylyl sulfate	C10H15N5O13P2S	505.986539	-H(+)	1137
s_0216	3-dehydroquinate	C7H10O6	189.0396535	-H(+)	308
s_0218	3-dehydrosphinganine	C18H37NO2	298.2728617	-H(+)	629
s_0224	3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate	C8H14O5	189.0733615	-H(+)	310
s_0231	3-hydroxyanthranilate	C7H7NO3	152.0341389	-H(+)	188
s_0238	3-methyl-2-oxobutanoate	C5H8O3	115.0389749	-H(+)	90
s_0240	3-methylbutanal	C5H10O	85.06479776	-H(+)	32
s_0264	3-phospho-D-glyceric acid	C3H7O7P	184.9855709	-H(+)	292
s_0272	4-acetamidobutanoate	C6H11NO3	144.066115	-H(+)	170
s_0291	4-hydroxy-l-threonine	C4H9NO4	134.0468042	-H(+)	146
s_0292	4-hydroxybenzoate	C7H6O3	137.0270719	-H(+)	155
s_0297	4-methyl-2-oxopentanoate	C6H10O3	129.0556962	-H(+)	132
s_0303	4beta-methylzymosterol-4alpha-carboxylic acid	C29H46O3	441.3371877	-H(+)	1010
s_0305	5'-S-methyl-5'-thioadenosine	C11H15N5O3S	296.0823193	-H(+)	618
s_0312	5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate	C6H20O30P9	849.7522527	-H(+)	1610
s_0317	5-amino-1-(5-phospho-d-ribosyl)imidazole-4-carboxamide	C9H15N4O8P	337.0547977	-H(+)	751
s_0325	5-formamido-1-(5-phospho-d-ribosyl)imidazole-4-carboxamide	C10H15N4O9P	365.0473773	-H(+)	836
s_0328	5-methyltetrahydrofolate(2-)	C20H25N7O6	458.1900206	-H(+)	1041
s_0333	5-phospho-beta-d-ribosylamine	C5H12NO7P	228.0294055	-H(+)	411
s_0353	7,8-dihydroneopterin 3'-triphosphate	C9H16N5O13P3	493.9859371	-H(+)	1115
s_0358	8-amino-7-oxononanoate	C9H17NO3	186.1143761	-H(+)	296
s_0369	acetate	C2H4O2	59.01432776	-H(+)	4
s_0390	adenine	C5H5N5	134.0468042	-H(+)	146
s_0396	adenosine 2'-phosphate	C10H14N5O7P	346.055867	-H(+)	786
s_0397	adenosine 3',5'-bismonophosphate	C10H15N5O10P2	426.0229958	-H(+)	981
s_0400	adp	C10H15N5O10P2	426.0229958	-H(+)	981
s_0410	aldehydo-D-glucose 6-phosphate	C6H13O9P	259.0226222	-H(+)	497
s_0416	alpha,alpha-trehalose	C12H22O11	341.1088246	-H(+)	770
s_0419	alpha,alpha-trehalose 6-phosphate	C12H23O14P	421.0757799	-H(+)	975
s_0420	alpha-d-galactose 1-phosphate	C6H13O9P	259.0226222	-H(+)	497
s_0425	alpha-d-ribose 1-phosphate	C5H11O8P	229.0131522	-H(+)	414
s_0427	alpha-d-ribose 5-phosphate	C5H11O8P	229.0131522	-H(+)	414
s_0434	amp	C10H14N5O7P	346.055867	-H(+)	786
s_0446	atp	C10H16N5O13P3	505.986539	-H(+)	1137
s_0453	beta-alanine	C3H7NO2	88.04082563	-H(+)	36
s_0454	beta-D-fructofuranose 2,6-bisphosphate	C6H14O12P2	338.9893513	-H(+)	758
s_0455	beta-D-glucose 6-phosphate	C6H13O9P	259.0226222	-H(+)	497
s_0458	bicarbonate	CH2O3	60.99324643	-H(+)	12
s_0468	but-1-ene-1,2,4-tricarboxylic acid	C7H8O6	187.024216	-H(+)	298
s_0481	cdp	C9H15N3O11P2	402.0148183	-H(+)	931
s_0491	cerotate	C26H52O2	395.3903673	-H(+)	916
s_0493	cerotic acid	C26H52O2	395.3903673	-H(+)	916
s_0501	cis-aconitate(3-)	C6H6O6	173.0082314	-H(+)	256
s_0507	citrate(3-)	C6H8O7	191.0198702	-H(+)	315
s_0511	cmp	C9H14N3O8P	322.0457397	-H(+)	704
s_0521	ctp	C9H16N3O14P3	481.9808158	-H(+)	1094
s_0529	d-arabinono-1,4-lactone	C5H8O5	147.0291756	-H(+)	178
s_0530	d-arabinose	C5H10O5	149.0446998	-H(+)	183
