id	name	formula	mz	mod	ion
C05986	2-Propyn-1-ol	C3H4O	55.01954469	-H(+)	1
C00207	Acetone	C3H6O	57.03459301	-H(+)	2
C00479	Propanal	C3H6O	57.03459301	-H(+)	2
C00033	Acetate	C2H4O2	59.01432776	-H(+)	4
C00266	Glycolaldehyde	C2H4O2	59.01432776	-H(+)	4
C01845	Propan-2-ol	C3H8O	59.05034982	-H(+)	5
C05979	Propane-1-ol	C3H8O	59.05034982	-H(+)	5
C01353	Carbonic acid	H2CO3	60.99324643	-H(+)	12
C00244	Nitrate	HNO3	61.98871044	-H(+)	15
C06145	3-Butyn-1-al	C4H4O	67.01891401	-H(+)	16
C00804	Propynoate	C3H2O2	68.99562571	-H(+)	17
C00546	Methylglyoxal	C3H4O2	71.01442679	-H(+)	18
C00163	Propanoate	C3H6O2	73.02937447	-H(+)	21
C00424	(S)-Lactaldehyde	C3H6O2	73.02937447	-H(+)	21
C00937	(R)-Lactaldehyde	C3H6O2	73.02937447	-H(+)	21
C00969	3-Hydroxypropanal	C3H6O2	73.02937447	-H(+)	21
C05235	Hydroxyacetone	C3H6O2	73.02937447	-H(+)	21
C05999	Lactaldehyde	C3H6O2	73.02937447	-H(+)	21
C00037	Glycine	C2H5NO2	74.02464043	-H(+)	22
C11481	HSO3-	HSO3	79.95703005	-H(+)	27
C06144	3-Butynoate	C4H4O2	83.01351893	-H(+)	29
C00741	Diacetyl	C4H6O2	85.03008004	-H(+)	31
C00022	Pyruvate	C3H4O3	87.00870457	-H(+)	34
C00222	3-Oxopropanoate	C3H4O3	87.00870457	-H(+)	34
C00246	Butanoic acid	C4H8O2	87.04450366	-H(+)	35
C00810	(R)-Acetoin	C4H8O2	87.04450366	-H(+)	35
C01769	(S)-Acetoin	C4H8O2	87.04450366	-H(+)	35
C00041	L-Alanine	C3H7NO2	88.04082563	-H(+)	36
C00099	beta-Alanine	C3H7NO2	88.04082563	-H(+)	36
C00133	D-Alanine	C3H7NO2	88.04082563	-H(+)	36
C00213	Sarcosine	C3H7NO2	88.04082563	-H(+)	36
C01401	Alanine	C3H7NO2	88.04082563	-H(+)	36
C00184	Glycerone	C3H6O3	89.02482057	-H(+)	37
C00186	(S)-Lactate	C3H6O3	89.02482057	-H(+)	37
C00256	(R)-Lactate	C3H6O3	89.02482057	-H(+)	37
C00577	D-Glyceraldehyde	C3H6O3	89.02482057	-H(+)	37
C01013	3-Hydroxypropanoate	C3H6O3	89.02482057	-H(+)	37
C00116	Glycerol	C3H8O3	91.04000983	-H(+)	42
C00059	Sulfate	H2SO4	96.96065774	-H(+)	46
C06752	"1,2-Dichloroethane"	C2H4Cl2	96.96065774	-H(+)	46
C00009	Orthophosphate	H3PO4	96.96853994	-H(+)	47
C00109	2-Oxobutanoate	C4H6O3	101.0245336	-H(+)	61
C00164	Acetoacetate	C4H6O3	101.0245336	-H(+)	61
C00232	Succinate semialdehyde	C4H6O3	101.0245336	-H(+)	61
C06002	(S)-Methylmalonate semialdehyde	C4H6O3	101.0245336	-H(+)	61
C00334	4-Aminobutanoate	C4H9NO2	102.0557171	-H(+)	63
C01026	"N,N-Dimethylglycine"	C4H9NO2	102.0557171	-H(+)	63
C03284	L-3-Amino-isobutanoate	C4H9NO2	102.0557171	-H(+)	63
C05145	3-Aminoisobutyric acid	C4H9NO2	102.0557171	-H(+)	63
C00989	4-Hydroxybutanoic acid	C4H8O3	103.0395321	-H(+)	64
C01089	(R)-3-Hydroxybutanoate	C4H8O3	103.0395321	-H(+)	64
C05984	2-Hydroxybutanoic acid	C4H8O3	103.0395321	-H(+)	64
C06001	(S)-3-Hydroxyisobutyrate	C4H8O3	103.0395321	-H(+)	64
C01987	2-Aminophenol	C6H7NO	108.0442881	-H(+)	70
C05130	Imidazole-4-acetaldehyde	C5H6N2O	109.0405083	-H(+)	72
C00106	Uracil	C4H4N2O2	111.0195798	-H(+)	74
C03564	1-Pyrroline-2-carboxylate	C5H7NO2	112.039507	-H(+)	78
C03912	(S)-1-Pyrroline-5-carboxylate	C5H7NO2	112.039507	-H(+)	78
C03248	Acetylenedicarboxylate	C4H2O4	112.9854572	-H(+)	80
C00596	"2-Hydroxy-2,4-pentadienoate"	C5H6O3	113.024407	-H(+)	81
C00429	"5,6-Dihydrouracil"	C4H6N2O2	113.0328604	-H(+)	82
C02512	3-Cyano-L-alanine	C4H6N2O2	113.0328604	-H(+)	82
C02565	N-Methylhydantoin	C4H6N2O2	113.0328604	-H(+)	82
C00148	L-Proline	C5H9NO2	114.0560861	-H(+)	86
C00763	D-Proline	C5H9NO2	114.0560861	-H(+)	86
C00122	Fumarate	C4H4O4	115.0048978	-H(+)	89
C01384	Maleic acid	C4H4O4	115.0048978	-H(+)	89
C00141	3-Methyl-2-oxobutanoic acid	C5H8O3	115.0389749	-H(+)	90
C03273	5-Oxopentanoate	C5H8O3	115.0389749	-H(+)	90
C00441	L-Aspartate 4-semialdehyde	C4H7NO3	116.0375867	-H(+)	92
C03508	L-2-Amino-3-oxobutanoic acid	C4H7NO3	116.0375867	-H(+)	92
C00183	L-Valine	C5H11NO2	116.0710536	-H(+)	93
