mz	metabolite
59.01	Acetate
59.01	Glycolaldehyde
59.02	Urea
71.01	Methylglyoxal
73.03	L-Lactaldehyde
74.02	Glycine
87.01	Pyruvate
88.04	L-Alanine
88.04	beta-Alanine
89.02	Dihydroxyacetone
89.02	D-Glyceraldehyde
89.02	D-Lactate
91.04	Glycerol
96.97	Phosphate
101.02	Succinic semialdehyde
101.02	Acetoacetate
101.02	2-Oxobutanoate
102.06	4-Aminobutanoate
104.04	L-Serine
105.02	L-Lactate
112.04	1-Pyrroline-5-carboxylate
114.06	L-Proline
115.00	Fumarate
115.04	3-Methyl-2-oxobutanoate
116.03	L-Aspartate 4-semialdehyde
116.07	L-Valine
117.02	Succinate
118.05	L-Threonine
118.05	L-Homoserine
119.05	Phenylacetaldehyde
122.02	Nicotinate
127.05	gamma-Amino-gamma-cyanobutanoate
128.04	L-1-Pyrroline-3-hydroxy-5-carboxylate
129.02	Itaconate
129.10	N-Acetylputrescine
130.05	L-Glutamate 5-semialdehyde
130.05	trans-4-Hydroxy-L-proline
130.05	5-Amino-4-oxopentanoate
130.09	L-Isoleucine
130.09	L-Leucine
131.03	(S)-2-Acetolactate
131.05	L-Asparagine
131.08	Ornithine
132.03	L-Aspartate
133.01	L-Malate
133.05	"(R)-2,3-Dihydroxy-3-methylbutanoate"
133.05	Deoxyribose
134.05	Adenine
134.05	4-Hydroxy-L-threonine
135.03	Hypoxanthine
135.05	Phenylacetic acid
136.04	4-Aminobenzoate
136.04	Anthranilate
140.08	L-Histidinol
143.11	octanoate (n-C8:0)
144.07	4-Acetamidobutanoate
144.07	L-2-Aminoadipate 6-semialdehyde
145.01	alpha-Ketoglutarate
145.05	(S)-2-Aceto-2-hydroxybutanoate
145.05	2-Dehydropantoate
145.06	L-Glutamine
146.05	L-Glutamate
146.05	O-Acetyl-L-serine
146.05	L-4-Hydroxyglutamate semialdehyde
147.03	"D-Arabinono-1,4-lactone"
147.07	(R)-Pantoate
147.07	(R)-Mevalonate
147.07	"(R)-2,3-Dihydroxy-3-methylpentanoate"
149.05	D-Xylulose
149.05	D-Arabinose
149.05	L-Arabinose
149.05	D-Ribose
149.05	D-Xylose
150.04	Guanine
151.03	Xanthine
152.03	3-Hydroxyanthranilate
154.06	L-Histidine
156.03	2-Aminomuconate
157.05	2-Isopropylmaleate
158.06	Indole-3-acetaldehyde
159.03	2-Oxoadipate
160.06	O-Acetyl-L-homoserine
160.06	Chitosan (monomer)
160.06	L-2-Aminoadipate
160.10	L-Carnitine
161.01	4-Hydroxy-2-oxoglutarate
161.05	"1,3-beta-D-Glucan (monomer)"
161.05	Mannan (monomer)
163.04	Phenylpyruvate
164.07	L-Phenylalanine
166.98	Phosphoenolpyruvate
168.07	Pyridoxine
168.99	Dihydroxyacetone phosphate
168.99	Glyceraldehyde 3-phosphate
171.01	Glycerol 3-phosphate
171.14	Decanoate (n-C10:0)
172.06	N-Acetyl-L-glutamate 5-semialdehyde
173.05	Shikimate
173.05	3-Carboxy-4-methyl-2-oxopentanoate
173.09	N2-Acetyl-L-ornithine
173.10	L-Arginine
174.06	Indole-3-acetate
174.09	L-Citrulline
175.06	3-Carboxy-2-hydroxy-4-methylpentanoate
175.06	3-Carboxy-3-hydroxy-4-methylpentanoate
176.94	Diphosphate
179.03	3-(4-Hydroxyphenyl)pyruvate
179.06	D-Galactose
179.06	D-Glucose
179.06	myo-Inositol
179.06	D-Mannose
179.06	L-Sorbose
179.06	D-Fructose
181.07	D-Sorbitol
181.07	L-Sorbitol
182.97	3-Phosphohydroxypyruvate
183.01	"3,4-dihydroxy-2-butanone 4-phosphate"
184.00	O-Phospho-L-serine
184.99	3-Phospho-D-glycerate
184.99	D-Glycerate 2-phosphate
186.11	8-Amino-7-oxononanoate
187.02	"But-1-ene-1,2,4-tricarboxylate"
188.06	N-Acetyl-L-glutamate
191.02	Isocitrate
191.02	Citrate
198.02	O-Phospho-L-homoserine
202.05	Indolepyruvate
202.07	Chitin (monomer)
202.11	O-Acetylcarnitine
203.08	L-Tryptophan
204.05	Lipoamide
205.04	2-Methylcitrate
205.04	homocitrate
205.04	Homoisocitrate
212.00	4-Phospho-L-aspartate
213.12	Dethiobiotin
214.01	O-Phospho-4-hydroxy-L-threonine
217.08	5-L-Glutamyl-L-alanine
218.03	4-Amino-2-methyl-5-phosphomethylpyrimidine
218.07	O-Succinyl-L-homoserine
218.10	(R)-Pantothenate
223.07	3-Hydroxy-L-kynurenine
225.19	tetradecenoate (n-C14:1)
226.01	L-Glutamate 5-phosphate
226.08	Deoxycytidine
227.20	tetradecanoate (n-C14:0)
228.03	5-Phospho-beta-D-ribosylamine
229.01	alpha-D-Ribose 1-phosphate
229.01	alpha-D-Ribose 5-phosphate
229.01	D-Ribulose 5-phosphate
229.01	D-Xylulose 5-phosphate
235.07	L-Formylkynurenine
237.03	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
241.08	Thymidine
242.08	Cytidine
243.06	Uridine
245.00	Dimethylallyl diphosphate
245.00	Isopentenyl diphosphate
249.06	gamma-L-Glutamyl-L-cysteine
253.01	Shikimate 5-phosphate
255.23	2-Hydroxy-hexadecanal
257.01	"6-phospho-D-glucono-1,5-lactone"
258.02	beta-D-Fructose 6-phosphate
258.02	D-Glucose 6-phosphate
259.02	beta-D-glucose 6-phosphate
259.02	D-Tagatose 6-phosphate
259.02	1D-myo-Inositol 1-phosphate
259.02	D-Mannose 6-phosphate
259.02	D-Mannose 1-phosphate
259.02	alpha-D-Galactose 1-phosphate
259.02	D-Fructose 6-phosphate
259.02	D-Fructose 1-phosphate
259.02	D-Glucose 1-phosphate
263.10	Thiamin
266.09	Adenosine
266.09	Deoxyguanosine
267.07	Inosine
268.02	N-Acetyl-L-glutamyl 5-phosphate
275.02	6-Phospho-D-gluconate
275.12	L-Saccharopine
279.23	octadecadienoate (n-C18:2)
281.25	octadecenoate (n-C18:1)
282.08	Guanosine
283.07	Xanthosine
283.26	octadecanoate (n-C18:0)
285.05	N1-(5-Phospho-D-ribosyl)glycinamide
289.12	N(omega)-(L-Arginino)succinate
300.05	N-Acetyl-D-glucosamine 6-phosphate
300.05	N-Acetyl-D-glucosamine 1-phosphate
306.05	dCMP
312.06	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine
313.04	N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide
327.00	(R)-5-Diphosphomevalonate
334.03	Nicotinate D-ribonucleotide
334.07	S-Formylglutathione
337.06	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide
338.99	"D-Fructose 2,6-bisphosphate"
338.99	"D-Fructose 1,6-bisphosphate"
338.99	"D-Tagatose 1,6-biphosphate"
341.11	1-alpha-D-Galactosyl-myo-inositol
341.11	Trehalose
341.11	Sucrose
341.11	Melibiose
341.11	Maltose
341.11	D-Gal-alpha-1->6D-Glucose
341.11	Epimelibiose
346.06	AMP
346.06	dGMP
347.04	IMP
350.07	dAMP
354.00	"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate"
362.05	GMP
363.03	Xanthosine 5-phosphate
365.05	5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
367.36	tetracosanoate (n-C24:0)
381.12	Farnesyl diphosphate
387.00	dUDP
401.01	dTDP
402.01	CDP
403.00	UDP
417.14	S-Adenosyl-L-methionine
423.03	Thiamine diphosphate
426.02	ADP
426.02	"Adenosine 3,5-bisphosphate"
426.02	dGDP
441.34	4-Methylzymosterol intermediate 1
453.07	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
481.98	CTP
482.96	UTP
489.99	dATP
503.00	Thiamin triphosphate
503.16	"(1,4-alpha-D-Glucosyl)3"
503.16	Raffinose
505.99	dGTP
505.99	ATP
521.98	GTP
565.05	UDP-hexose
565.05	UDP-hexose
604.07	GDP-D-mannose
606.07	UDP-N-acetyl-D-galactosamine
611.15	Oxidized glutathione
662.10	NAD
664.12	NADH
665.22	glycogen (tetramer)
679.31	Coproporphyrinogen III
694.67	Ceramide-2 (Sphinganine:n-C26:0OH)
694.67	Ceramide-2 (Phytosphingosine:n-C26:0)
716.26	5-Methyltetrahydropteroyltri-L-glutamate
742.07	NADP
762.07	NADP
766.11	Coenzyme A
808.12	Acetyl-CoA
835.04	"P1,P4-Bis(5-adenosyl) tetraphosphate"
920.24	Decanoyl-CoA (n-C10:0CoA)
994.30	trans-Tetradec-2-enoyl-CoA
994.30	Tetradecenoyl-CoA (n-C14:1CoA)
