id	name	formula	mz	mod	ion
C00001	H2O	H2O	158.9429825	.HPO4Na2-H(+)	213
C00001	H2O	H2O	190.8886935	.HPO4K2-H(+)	313
C00002	ATP	C10H16N5O13P3	426.0229958	-H3PO4-H(+)	981
C00002	ATP	C10H16N5O13P3	505.986539	-H(+)	1137
C00002	ATP	C10H16N5O13P3	523.9918941	+OH(-)	1164
C00002	ATP	C10H16N5O13P3	543.9487394	.H/K-H(+)	1199
C00003	NAD+	C21H28N7O14P2	779.0343898	.(NaCl)2-H(+)	1523
C00004	NADH	C21H29N7O14P2	664.1163382	-H(+)	1389
C00004	NADH	C21H29N7O14P2	665.1178286	[+1]-H(+)	1390
C00004	NADH	C21H29N7O14P2	702.0639895	.H2/Ca-H(+)	1447
C00004	NADH	C21H29N7O14P2	702.0639895	.H/K-H(+)	1447
C00005	NADPH	C21H30N7O17P3	983.9984949	.(H2PO4Na)2-H(+)	1710
C00006	NADP+	C21H29N7O17P3	982.9943242	.(H2PO4Na)2-H(+)	1708
C00008	ADP	C10H15N5O10P2	346.055867	-H3PO4-H(+)	786
C00008	ADP	C10H15N5O10P2	346.055867	-HPO3-H(+)	786
C00008	ADP	C10H15N5O10P2	426.0229958	-H(+)	981
C00008	ADP	C10H15N5O10P2	463.9831553	.H/K-H(+)	1051
C00008	ADP	C10H15N5O10P2	561.9503013	.H2PO4K-H(+)	1222
C00009	Orthophosphate	H3PO4	78.95959355	-H2O-H(+)	26
C00009	Orthophosphate	H3PO4	96.96853994	-H(+)	47
C00009	Orthophosphate	H3PO4	114.9808682	+OH(-)	88
C00009	Orthophosphate	H3PO4	134.9168875	.H2/Ca-H(+)	148
C00009	Orthophosphate	H3PO4	270.8445674	.(NaCl)3-H(+)	524
C00011	CO2	CO2	60.99324643	+OH(-)	12
C00013	Diphosphate	P2H4O7	96.96853994	-H3PO4-H(+)	47
C00013	Diphosphate	P2H4O7	96.96853994	-HPO3-H(+)	47
C00013	Diphosphate	P2H4O7	176.9356656	-H(+)	270
C00013	Diphosphate	P2H4O7	214.8910941	.H/K-H(+)	378
C00013	Diphosphate	P2H4O7	350.8192309	.HPO4K2-H(+)	799
C00015	UDP	C9H14N2O12P2	323.0288599	-H3PO4-H(+)	707
C00015	UDP	C9H14N2O12P2	323.0288599	-HPO3-H(+)	707
C00015	UDP	C9H14N2O12P2	402.9970473	-H(+)	934
C00018	Pyridoxal phosphate	C8H10NO6P	283.96815	.H2/Ca-H(+)	576
C00018	Pyridoxal phosphate	C8H10NO6P	283.96815	.H/K-H(+)	576
C00019	S-Adenosyl-L-methionine	C15H22N6O5S	397.1250455	-H(+)	922
C00020	AMP	C10H14N5O7P	346.055867	-H(+)	786
C00020	AMP	C10H14N5O7P	347.0574508	[+1]-H(+)	790
C00020	AMP	C10H14N5O7P	364.0663278	+OH(-)	834
C00020	AMP	C10H14N5O7P	384.0123996	.H/K-H(+)	885
C00020	AMP	C10H14N5O7P	481.9808158	.H2PO4K-H(+)	1094
C00021	S-Adenosyl-L-homocysteine	C14H20N6O5S	384.121223	[+1]-H(+)	886
C00021	S-Adenosyl-L-homocysteine	C14H20N6O5S	401.1298495	+OH(-)	929
C00021	S-Adenosyl-L-homocysteine	C14H20N6O5S	402.132107	[+1]+OH(-)	932
C00021	S-Adenosyl-L-homocysteine	C14H20N6O5S	421.0757799	.H/K-H(+)	975
C00021	S-Adenosyl-L-homocysteine	C14H20N6O5S	441.0767375	.NaCl-H(+)	1008
C00021	S-Adenosyl-L-homocysteine	C14H20N6O5S	557.0078322	.HPO4K2-H(+)	1218
C00022	Pyruvate	C3H4O3	87.00870457	-H(+)	34
C00024	Acetyl-CoA	C23H38N7O17P3S	981.9958488	.(NaCl)3-H(+)	1707
C00025	L-Glutamate	C5H9NO4	102.0557171	-CO2-H(+)	63
C00025	L-Glutamate	C5H9NO4	128.0352619	-H2O-H(+)	129
C00025	L-Glutamate	C5H9NO4	129.0194152	-NH3-H(+)	130
C00025	L-Glutamate	C5H9NO4	146.0458908	-H(+)	176
C00025	L-Glutamate	C5H9NO4	147.0462951	[+1]-H(+)	179
C00025	L-Glutamate	C5H9NO4	168.0272666	.H/Na-H(+)	241
C00025	L-Glutamate	C5H9NO4	184.0014257	.H/K-H(+)	289
C00026	2-Oxoglutarate	C5H6O5	101.0245336	-CO2-H(+)	61
C00026	2-Oxoglutarate	C5H6O5	145.013384	-H(+)	173
C00027	H2O2	H2O2	174.9415415	.HPO4Na2-H(+)	262
C00029	UDP-glucose	C15H24N2O17P2	565.0464784	-H(+)	1230
C00029	UDP-glucose	C15H24N2O17P2	566.0511389	[+1]-H(+)	1233
C00031	D-Glucose	C6H12O6	161.0457211	-H2O-H(+)	222
C00031	D-Glucose	C6H12O6	179.0568334	-H(+)	276
C00031	D-Glucose	C6H12O6	180.0600392	[+1]-H(+)	281
C00033	Acetate	C2H4O2	59.01432776	-H(+)	4
C00033	Acetate	C2H4O2	60.01718153	[+1]-H(+)	10
C00033	Acetate	C2H4O2	96.96065774	.H2/Ca-H(+)	46
C00033	Acetate	C2H4O2	96.96853994	.H/K-H(+)	47
C00033	Acetate	C2H4O2	232.8875897	.(NaCl)3-H(+)	419
C00037	Glycine	C2H5NO2	74.02464043	-H(+)	22
C00041	L-Alanine	C3H7NO2	71.01442679	-NH3-H(+)	18
C00041	L-Alanine	C3H7NO2	88.04082563	-H(+)	36
C00042	Succinate	C4H6O4	73.02937447	-CO2-H(+)	21
C00042	Succinate	C4H6O4	99.00809053	-H2O-H(+)	58
C00042	Succinate	C4H6O4	117.0188389	-H(+)	96
C00042	Succinate	C4H6O4	135.03078	+OH(-)	151
C00043	UDP-N-acetyl-D-glucosamine	C17H27N3O17P2	606.0735076	-H(+)	1306
C00043	UDP-N-acetyl-D-glucosamine	C17H27N3O17P2	607.0775058	[+1]-H(+)	1307
C00043	UDP-N-acetyl-D-glucosamine	C17H27N3O17P2	624.0883808	+OH(-)	1332
C00043	UDP-N-acetyl-D-glucosamine	C17H27N3O17P2	644.0331643	.H/K-H(+)	1364
